,publisedAt,username,commentDisplay
0,2025-12-16T10:18:19Z,@fahadchannelserbaguna7644,Sisi negatif nya ini akan terjadi inflasi gedean&quot;
1,2025-12-15T18:50:25Z,@LOLOLOL1703,"Intinya ada yg ketar ketir, jalankan dlu pasti sdh dipikirkan matang2"
2,2025-12-15T07:30:13Z,@SatuBait,"Kalau di US kan masih pakai pecahan cent untuk mata uang recehan, kalau di Indo nanti jadi apa ya.. Penasaran nunggu 🤔"
3,2025-12-14T14:22:28Z,@Jesa_Putra,"Kalo di zaman sekarang , lebih bisa . Meski SDM rendah masih banyak . Dengan konsisten sosialisasi panjang sebelum eksekusi , lebih meminimalisir kegagalan . Timing yg baik menentukan hasil , meski tak lepas dari oknum nakal ."
4,2025-12-14T09:57:47Z,@agussunind,"Dulu itu Pemotongan nilai mata uang,... tapi redemonasi nilai sama cuma nol beda"
5,2025-12-11T09:51:32Z,@SaepulohThea-i5e,Menurut saya itu keren bang soal nya waktu saya di malasiya 2000 aja orang Malaysia kaget gete banget katanya  . Dengan ini saya setuju bang
6,2025-12-11T08:07:38Z,@jamilal-idrus1905,Indomaret : Punten... 500 Rupiahnya mau didonasikan?
7,2025-12-11T00:11:55Z,@FerryUser-c8x,Sekarang ada sosmed Dulu belum ada sosmed Beda
8,2025-12-10T11:36:25Z,@alifnurrudin289,Menariq.
9,2025-12-10T11:34:16Z,@alifnurrudin289,"Bapak² di pasar hewan : beli kambing 2000, sapi 15000 ."
10,2025-12-09T23:47:22Z,@jawalriyadi8529,"Gak bakal ada time yg tepat di indonesia, pejabat maling semua"
11,2025-12-09T19:19:25Z,@SIBONONG,"Solusinya di situ bikin 2 mata uang baru seperti turki, dengan nama rupiah menjadi new rupiah, agar masyarakat tidak kebingungan, ketika 2 mata uang beredar secara bersamaan"
12,2025-12-09T18:12:51Z,@SAMAKRUC04BROTHER,"Tujuannya bagaimana uang bangkit dari kuburnya...kemarin 900 M sdh bangkit dari kuburnya, bsk mulai ada lg uang bangkit dr kuburannya"
13,2025-12-09T12:38:31Z,@trigunawan4288,Nasib uang koin gimna y
14,2025-12-09T01:28:36Z,@muhammadsyahrir6771,"Lebih baik harus ada waktu sosialisasi fisik uang yang tidak membingungkan masyarakat dengan mencetak uang baru dengan model yang tidak bebeda dengan uang beredar tetapi di satu sisi ditambah dengan nilai rupiah redominasi, lalu tahap selanjutnya dengan model uang yang sama tetapi sudah dengan nilai redominasi (artinya angka rp dengan penulisan angka redominasi sdh umum di masyarakat dalam melakukan transaksi)"
15,2025-12-08T14:02:00Z,@ajiSaka-c1s,"Katanya kegagalan adalah kesuksesan yg tertunda👉😇🙄🤔🤔🤫🤭🤗😆😃,kalau kita tdk percaya pemerintah yg sdh menghitung 💯 xxx"
16,2025-12-05T08:41:43Z,@NurilAqbar-b7n,Ikut dasar uang lama jaman pak Sukarno uangnya aji
17,2025-12-05T08:36:11Z,@sutrisnotv5013,"Dampak nya, penjual yg belum ngerti asal jual harga barang. Ada yang kemahalan ada yg kemurahan"
