,publisedAt,username,commentDisplay,text_clean,text_caseFolding,text_slangWords,text_tokenizing,text_stopwords,text_final,Sentiment,Sentiment_Label
0,2025-12-16T10:18:19Z,@fahadchannelserbaguna7644,Sisi negatif nya ini akan terjadi inflasi gedean&quot;,Sisi negatif nya ini akan terjadi inflasi gedeanquot,sisi negatif nya ini akan terjadi inflasi gedeanquot,sisi negatif nya ini akan terjadi inflasi gedeanquot,"['sisi', 'negatif', 'nya', 'ini', 'akan', 'terjadi', 'inflasi', 'gedeanquot']","['sisi', 'negatif', 'inflasi', 'gedeanquot']",sisi negatif inflasi gedeanquot,0,Negative
1,2025-12-15T18:50:25Z,@LOLOLOL1703,"Intinya ada yg ketar ketir, jalankan dlu pasti sdh dipikirkan matang2",Intinya ada yg ketar ketir jalankan dlu pasti sdh dipikirkan matang,intinya ada yg ketar ketir jalankan dlu pasti sdh dipikirkan matang,intinya ada yang ketar ketir jalankan dlu pasti sdh dipikirkan matang,"['intinya', 'ada', 'yang', 'ketar', 'ketir', 'jalankan', 'dlu', 'pasti', 'sdh', 'dipikirkan', 'matang']","['intinya', 'ketar', 'ketir', 'jalankan', 'dlu', 'sdh', 'dipikirkan', 'matang']",intinya ketar ketir jalankan dlu sdh dipikirkan matang,2,Positive
2,2025-12-15T07:30:13Z,@SatuBait,"Kalau di US kan masih pakai pecahan cent untuk mata uang recehan, kalau di Indo nanti jadi apa ya.. Penasaran nunggu 🤔",Kalau di US kan masih pakai pecahan cent untuk mata uang recehan kalau di Indo nanti jadi apa ya Penasaran nunggu,kalau di us kan masih pakai pecahan cent untuk mata uang recehan kalau di indo nanti jadi apa ya penasaran nunggu,kalau di us kan masih pakai pecahan cent untuk mata uang recehan kalau di indo nanti jadi apa ya penasaran nunggu,"['kalau', 'di', 'us', 'kan', 'masih', 'pakai', 'pecahan', 'cent', 'untuk', 'mata', 'uang', 'recehan', 'kalau', 'di', 'indo', 'nanti', 'jadi', 'apa', 'ya', 'penasaran', 'nunggu']","['us', 'pakai', 'pecahan', 'cent', 'mata', 'uang', 'recehan', 'indo', 'penasaran', 'nunggu']",us pakai pecahan cent mata uang recehan indo penasaran nunggu,0,Negative
3,2025-12-14T14:22:28Z,@Jesa_Putra,"Kalo di zaman sekarang , lebih bisa . Meski SDM rendah masih banyak . Dengan konsisten sosialisasi panjang sebelum eksekusi , lebih meminimalisir kegagalan . Timing yg baik menentukan hasil , meski tak lepas dari oknum nakal .",Kalo di zaman sekarang  lebih bisa  Meski SDM rendah masih banyak  Dengan konsisten sosialisasi panjang sebelum eksekusi  lebih meminimalisir kegagalan  Timing yg baik menentukan hasil  meski tak lepas dari oknum nakal,kalo di zaman sekarang  lebih bisa  meski sdm rendah masih banyak  dengan konsisten sosialisasi panjang sebelum eksekusi  lebih meminimalisir kegagalan  timing yg baik menentukan hasil  meski tak lepas dari oknum nakal,kalau di zaman sekarang lebih bisa meski sdm rendah masih banyak dengan konsisten sosialisasi panjang sebelum eksekusi lebih meminimalisir kegagalan timing yang baik menentukan hasil meski tak lepas dari oknum nakal,"['kalau', 'di', 'zaman', 'sekarang', 'lebih', 'bisa', 'meski', 'sdm', 'rendah', 'masih', 'banyak', 'dengan', 'konsisten', 'sosialisasi', 'panjang', 'sebelum', 'eksekusi', 'lebih', 'meminimalisir', 'kegagalan', 'timing', 'yang', 'baik', 'menentukan', 'hasil', 'meski', 'tak', 'lepas', 'dari', 'oknum', 'nakal']","['zaman', 'sdm', 'rendah', 'konsisten', 'sosialisasi', 'eksekusi', 'meminimalisir', 'kegagalan', 'timing', 'menentukan', 'hasil', 'lepas', 'oknum', 'nakal']",zaman sdm rendah konsisten sosialisasi eksekusi meminimalisir kegagalan timing menentukan hasil lepas oknum nakal,2,Positive
4,2025-12-14T09:57:47Z,@agussunind,"Dulu itu Pemotongan nilai mata uang,... tapi redemonasi nilai sama cuma nol beda",Dulu itu Pemotongan nilai mata uang tapi redemonasi nilai sama cuma nol beda,dulu itu pemotongan nilai mata uang tapi redemonasi nilai sama cuma nol beda,dulu itu pemotongan nilai mata uang tapi redemonasi nilai sama cuma nol beda,"['dulu', 'itu', 'pemotongan', 'nilai', 'mata', 'uang', 'tapi', 'redemonasi', 'nilai', 'sama', 'cuma', 'nol', 'beda']","['pemotongan', 'nilai', 'mata', 'uang', 'redemonasi', 'nilai', 'nol', 'beda']",pemotongan nilai mata uang redemonasi nilai nol beda,1,Neutral
5,2025-12-11T09:51:32Z,@SaepulohThea-i5e,Menurut saya itu keren bang soal nya waktu saya di malasiya 2000 aja orang Malaysia kaget gete banget katanya  . Dengan ini saya setuju bang,Menurut saya itu keren bang soal nya waktu saya di malasiya  aja orang Malaysia kaget gete banget katanya   Dengan ini saya setuju bang,menurut saya itu keren bang soal nya waktu saya di malasiya  aja orang malaysia kaget gete banget katanya   dengan ini saya setuju bang,menurut saya itu keren bang soal nya waktu saya di malasiya aja orang malaysia kaget gete banget katanya dengan ini saya setuju bang,"['menurut', 'saya', 'itu', 'keren', 'bang', 'soal', 'nya', 'waktu', 'saya', 'di', 'malasiya', 'aja', 'orang', 'malaysia', 'kaget', 'gete', 'banget', 'katanya', 'dengan', 'ini', 'saya', 'setuju', 'bang']","['keren', 'bang', 'malasiya', 'aja', 'orang', 'malaysia', 'kaget', 'gete', 'banget', 'setuju', 'bang']",keren bang malasiya aja orang malaysia kaget gete banget setuju bang,2,Positive
6,2025-12-11T08:07:38Z,@jamilal-idrus1905,Indomaret : Punten... 500 Rupiahnya mau didonasikan?,Indomaret  Punten  Rupiahnya mau didonasikan,indomaret  punten  rupiahnya mau didonasikan,indomaret punten rupiahnya mau didonasikan,"['indomaret', 'punten', 'rupiahnya', 'mau', 'didonasikan']","['indomaret', 'punten', 'rupiahnya', 'didonasikan']",indomaret punten rupiahnya didonasikan,1,Neutral
7,2025-12-11T00:11:55Z,@FerryUser-c8x,Sekarang ada sosmed Dulu belum ada sosmed Beda,Sekarang ada sosmed Dulu belum ada sosmed Beda,sekarang ada sosmed dulu belum ada sosmed beda,sekarang ada sosmed dulu belum ada sosmed beda,"['sekarang', 'ada', 'sosmed', 'dulu', 'belum', 'ada', 'sosmed', 'beda']","['sosmed', 'sosmed', 'beda']",sosmed sosmed beda,1,Neutral
8,2025-12-10T11:36:25Z,@alifnurrudin289,Menariq.,Menariq,menariq,menariq,['menariq'],['menariq'],menariq,1,Neutral
9,2025-12-10T11:34:16Z,@alifnurrudin289,"Bapak² di pasar hewan : beli kambing 2000, sapi 15000 .",Bapak² di pasar hewan  beli kambing  sapi,bapak² di pasar hewan  beli kambing  sapi,bapak² di pasar hewan beli kambing sapi,"['bapak²', 'di', 'pasar', 'hewan', 'beli', 'kambing', 'sapi']","['bapak²', 'pasar', 'hewan', 'beli', 'kambing', 'sapi']",bapak² pasar hewan beli kambing sapi,1,Neutral
